"identifier_ric","company_name","ticker_symbol","naics_sector_name","organization_website","contact_email_address","country_of_headquarters","index_name","mx_company_name","mx_country","mx_type","mx_country_group","mx_type_group"
"000338.SZ","Weichai Power Co Ltd","000338","Manufacturing","https://www.weichaipower.com/","gaotc@weichai.com","China (Mainland)","CSI 300","Weichai Power Co Ltd","China","Provider","China","Self"
"000408.SZ","Zangge Mining Co Ltd","000408","Manufacturing","https://www.zanggekuangye.com/","2671491346@qq.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"000425.SZ","XCMG Construction Machinery Co Ltd","000425","Manufacturing","http://xgjx.xcmg.com","fgs@xcmg.com","China (Mainland)","CSI 300","net263","China","Provider","China","Managed"
"000538.SZ","Yunnan Baiyao Group Co Ltd","000538","Manufacturing","http://www.yunnanbaiyao.com.cn","000538dm@ynby.cn","China (Mainland)","CSI 300","Coremail","China","Provider","China","Managed"
"000568.SZ","Luzhou Laojiao Co Ltd","000568","Manufacturing","https://www.lzlj.com/","dsb@lzlj.com","China (Mainland)","CSI 300","Luzhou Laojiao Co Ltd","China","Provider","China","Self"
"000596.SZ","Anhui Gujing Distillery Co Ltd","000596","Manufacturing","https://www.gujing.com/","gjzqb@gujing.com.cn","China (Mainland)","CSI 300","Anhui Gujing Distillery Co Ltd","China","Provider","China","Self"
"000625.SZ","Chongqing Changan Automobile Co Ltd","000625","Manufacturing","https://www.changan.com.cn/","cazqc@changan.com.cn","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"000651.SZ","Gree Electric Appliances Inc of Zhuhai","000651","Manufacturing","http://www.gree.com.cn","gree0651@cn.gree.com","China (Mainland)","CSI 300","Coremail","China","Provider","China","Managed"
"000661.SZ","Changchun High & New Technology Industries Group Inc","000661","Manufacturing","http://ccht.jl.cn/","zds@ccht.jl.cn","China (Mainland)","CSI 300","Alibaba","China","Provider","China","Managed"
"000703.SZ","Hengyi Petrochemical Co Ltd","000703","Manufacturing","http://www.hengyishihua.com/","hysh@hengyi.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"000708.SZ","CITIC Pacific Special Steel Group Co Ltd","000708","Manufacturing","https://www.citicsteel.com/","zxtgdm@citicsteel.com","China (Mainland)","CSI 300","CITIC Pacific Special Steel Group Co Ltd","China","Provider","China","Self"
"000725.SZ","BOE Technology Group Co Ltd","000725","Manufacturing","https://www.boe.com/","liuhongfeng@boe.com.cn","China (Mainland)","CSI 300","BOE Technology Group Co Ltd","China","Provider","China","Self"
"000768.SZ","Avic XiAn Aircraft Industry Group Co Ltd","000768","Manufacturing","https://www.xac.com.cn/",,"China (Mainland)","CSI 300","Unknown","Unknown","Unknown","Unknown","Unknown"
"000776.SZ","GF Securities Co Ltd","000776","Finance and Insurance","http://www.gf.com.cn",,"China (Mainland)","CSI 300","GF Securities Co Ltd","China","Provider","China","Self"
"000786.SZ","Beijing New Building Materials Public Ltd Co","000786","Manufacturing","http://www.bnbm.com.cn/","bnbm@bnbm.com.cn","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"000792.SZ","Qinghai Salt Lake Industry Co Ltd","000792","Mining, Quarrying, and Oil and Gas Extraction","https://www.qhyhgf.com/","yhjf0792@sina.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"000800.SZ","FAW Jiefang Group Co Ltd","000800","Manufacturing","https://www.fawjiefang.com.cn/","faw0800@fawjiefang.com.cn","China (Mainland)","CSI 300","FAW Jiefang Group Co Ltd","China","Provider","China","Self"
"000858.SZ","Wuliangye Yibin Co Ltd","000858","Manufacturing","https://www.wuliangye.com.cn/",,"China (Mainland)","CSI 300","Wuliangye Yibin Co Ltd","China","Provider","China","Self"
"000876.SZ","New Hope Liuhe Co Ltd","000876","Manufacturing","http://www.newhopeagri.com","000876@newhope.cn","China (Mainland)","CSI 300","Unknown","Unknown","Unknown","Unknown","Unknown"
"000877.SZ","Xinjiang Tianshan Cement Co Ltd","000877","Manufacturing","http://www.sinoma-tianshan.cn/","lixq3366@126.com","China (Mainland)","CSI 300","NetEase","China","Provider","China","Managed"
"000895.SZ","Henan Shuanghui Investment & Development Co Ltd","000895","Manufacturing","https://www.shuanghui.net/","0895@shuanghui.net","British Virgin Islands","CSI 300","NetEase","China","Provider","China","Managed"
"000938.SZ","Unisplendour Corp Ltd","000938","Professional, Scientific, and Technical Services","http://www.thunis.com","zw@unis.cn","China (Mainland)","CSI 300","Unisplendour Corp Ltd","China","Provider","China","Self"
"000963.SZ","Huadong Medicine Co Ltd","000963","Wholesale Trade","https://www.eastchinapharm.com/","hz000963@126.com","China (Mainland)","CSI 300","NetEase","China","Provider","China","Managed"
"000977.SZ","Inspur Electronic Information Industry Co Ltd","000977","Manufacturing","http://www.inspur.com/","wulong@inspur.com","China (Mainland)","CSI 300","Shanghai Qingyu","China","Provider","China","Managed"
"001289.SZ","China Longyuan Power Group Corp Ltd","001289","Utilities","http://www.clypg.com.cn/","lyir@chnenergy.com.cn","China (Mainland)","CSI 300","Unknown","Unknown","Unknown","Unknown","Unknown"
"001979.SZ","China Merchants Shekou Industrial Zone Holdings Co Ltd","001979","Construction","https://www.cmsk1979.com/","cmskir@cmhk.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"002001.SZ","Zhejiang Nhu Co Ltd","002001","Manufacturing","http://www.cnhu.com","sgq@cnhu.com","China (Mainland)","CSI 300","Alibaba","China","Provider","China","Managed"
"002007.SZ","Hualan Biological Engineering Inc","002007","Manufacturing","http://www.hualanbio.com","hualan@hualanbio.com","China (Mainland)","CSI 300","Alibaba","China","Provider","China","Managed"
"002008.SZ","Han's Laser Technology Industry Group Co Ltd","002008","Manufacturing","https://www.hanslaser.com/","bsd@hanslaser.com","China (Mainland)","CSI 300","Han's Laser Technology Industry Group Co Ltd","China","Provider","China","Self"
"002027.SZ","Focus Media Information Technology Co Ltd","002027","Professional, Scientific, and Technical Services","https://www.focusmedia.cn/",,"China (Mainland)","CSI 300","Focus Media Information Technology Co Ltd","China","Provider","China","Self"
"002032.SZ","Zhejiang Supor Co Ltd","002032","Manufacturing","http://www.supor.com.cn","yjd@supor.com","France","CSI 300","Zhejiang Supor Co Ltd","France","Provider","European Union","Self"
"002049.SZ","Unigroup Guoxin Microelectronics Co Ltd","002049","Manufacturing","https://www.gosinoic.com/","dulh@gosinoic.com","China (Mainland)","CSI 300","Unigroup Guoxin Microelectronics Co Ltd","China","Provider","China","Self"
"002050.SZ","Zhejiang Sanhua Intelligent Controls Co Ltd","002050","Manufacturing","https://zjshc.com/","shc@zjshc.com","China (Mainland)","CSI 300","net263","China","Provider","China","Managed"
"002064.SZ","Huafon Chemical Co Ltd","002064","Manufacturing","http://www.spandex.com.cn","li.yilun@huafeng.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"002074.SZ","Gotion High tech Co Ltd","002074","Manufacturing","https://www.gotion.com.cn/","panwang@gotion.com.cn","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"002120.SZ","YUNDA Holding Co Ltd","002120","Transportation and Warehousing","http://www.yundaex.com/",,"China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"002129.SZ","TCL Zhonghuan Renewable Energy Technology Co Ltd","002129","Manufacturing","https://www.tjsemi.com/","qinshilong@tjsemi.com","China (Mainland)","CSI 300","net263","China","Provider","China","Managed"
"002142.SZ","Bank of Ningbo Co Ltd","002142","Finance and Insurance","http://www.nbcb.com.cn","dsh@nbcb.cn","China (Mainland)","CSI 300","35.com","China","Provider","China","Managed"
"002179.SZ","AVIC Jonhon Optronic Technology Co Ltd","002179","Manufacturing","https://www.jonhon.cn/","wangyage@jonhon.cn","China (Mainland)","CSI 300","Unknown","Unknown","Unknown","Unknown","Unknown"
"002202.SZ","Xinjiang Goldwind Science & Technology Co Ltd","002202","Manufacturing","http://www.goldwind.com.cn/","goldwind@goldwind.com.cn","China (Mainland)","CSI 300","Xinjiang Goldwind Science & Technology Co Ltd","China","Provider","China","Self"
"002230.SZ","iFLYTEK Co Ltd","002230","Information","https://www.iflytek.com/index.html","taojiang@iflytek.com","China (Mainland)","CSI 300","iFLYTEK Co Ltd","China","Provider","China","Self"
"002236.SZ","Zhejiang Dahua Technology Co Ltd","002236","Manufacturing","http://www.dahuatech.com",,"China (Mainland)","CSI 300","Zhejiang Dahua Technology Co Ltd","China","Provider","China","Self"
"002241.SZ","Goertek Inc","002241","Manufacturing","https://www.goertek.com/","ir@goertek.com","China (Mainland)","CSI 300","Coremail","China","Provider","China","Managed"
"002252.SZ","Shanghai RAAS Blood Products Co Ltd","002252","Manufacturing","http://www.raas-corp.com","raas@raas-corp.com","China (Mainland)","CSI 300","Alibaba","China","Provider","China","Managed"
"002271.SZ","Beijing Oriental Yuhong Waterproof Technology Co Ltd","002271","Manufacturing","http://www.yuhong.com.cn","stocks@yuhong.com.cn","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"002304.SZ","Jiangsu Yanghe Brewery Joint-Stock Co Ltd","002304","Manufacturing","https://www.chinayanghe.com/","yanghe002304@chinayanghe.com","China (Mainland)","CSI 300","Alibaba","China","Provider","China","Managed"
"002311.SZ","Guangdong Haid Group Co Ltd","002311","Manufacturing","https://www.haid.com.cn/","zqbgs@haid.com.cn","China (Mainland)","CSI 300","Guangdong Haid Group Co Ltd","China","Provider","China","Self"
"002352.SZ","S.F. Holding Co Ltd","002352","Transportation and Warehousing","https://www.sf-express.com/cn/en/","sfir@sf-express.com","China (Mainland)","CSI 300","S.F. Holding Co Ltd","China","Provider","China","Self"
"002371.SZ","NAURA Technology Group Co Ltd","002371","Manufacturing","https://www.naura.com/",,"China (Mainland)","CSI 300","Unknown","Unknown","Unknown","Unknown","Unknown"
"002410.SZ","Glodon Co Ltd","002410","Information","https://www.glodon.com","lisj-c@glodon.com","China (Mainland)","CSI 300","Shanghai Qingyu","China","Provider","China","Managed"
"002414.SZ","Wuhan Guide Infrared Co Ltd","002414","Manufacturing","https://www.wuhan-guide.com/","chenliling@guide-infrared.com","China (Mainland)","CSI 300","Alibaba","China","Provider","China","Managed"
"002415.SZ","Hangzhou Hikvision Digital Technology Co Ltd","002415","Manufacturing","https://www.hikvision.com/en/","hikvision@hikvision.com","China (Mainland)","CSI 300","Hangzhou Hikvision Digital Technology Co Ltd","China","Provider","China","Self"
"002459.SZ","JA Solar Technology Co Ltd","002459","Manufacturing","https://www.jasolar.com.cn/","ir@jasolar.com","China (Mainland)","CSI 300","NetEase","China","Provider","China","Managed"
"002460.SZ","Ganfeng Lithium Group Co Ltd","002460","Manufacturing","http://www.ganfenglithium.com/","Houyingxue2003@sina.com","China (Mainland)","CSI 300","NetEase","China","Provider","China","Managed"
"002466.SZ","Tianqi Lithium Corp","002466","Manufacturing","http://www.tianqilithium.com","william.zhang@tianqilithium.com","China (Mainland)","CSI 300","Microsoft","United States","Provider","United States","Managed"
"002475.SZ","Luxshare Precision Industry Co Ltd","002475","Manufacturing","https://www.luxshare-ict.com/","David.Huang@luxshare-ict.com","Hong Kong","CSI 300","Microsoft","United States","Provider","United States","Managed"
"002493.SZ","Rongsheng Petrochemical Co Ltd","002493","Manufacturing","http://www.cnrspc.com","qwy@rong-sheng.com","China (Mainland)","CSI 300","net263","China","Provider","China","Managed"
"002555.SZ","37 Interactive Entertainment Network Technology Group Co Ltd","002555","Information","http://www.37wan.net/","ir@37.com","China (Mainland)","CSI 300","37 Interactive Entertainment Network Technology Group Co Ltd","China","Provider","China","Self"
"002568.SZ","Shanghai Bairun Investment Holding Group Co Ltd","002568","Manufacturing","http://www.bairun.net","Angela.geng@bairun.net","China (Mainland)","CSI 300","Shanghai Bairun Investment Holding Group Co Ltd","China","Provider","China","Self"
"002594.SZ","BYD Co Ltd","002594","Manufacturing","https://www.bydglobal.com/","byd@iprogilvy.com","China (Mainland)","CSI 300","ProofPoint","United States","Security","United States","Managed"
"002600.SZ","Lingyi iTech Guangdong Co","002600","Manufacturing","http://www.jpmf.com.cn/","IR@lingyiitech.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"002601.SZ","LB Group Co Ltd","002601","Manufacturing","http://www.billionschem.com/","zht@lomonbillions.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"002602.SZ","Zhejiang Century Huatong Group Co Ltd","002602","Information","http://www.sjhuatong.com","fanghui.derek@shengqugames.com","China (Mainland)","CSI 300","35.com","China","Provider","China","Managed"
"002607.SZ","Offcn Education Technology Co Ltd","002607","Educational Services","http://www.offcn.com/","ir@offcn.com","China (Mainland)","CSI 300","Offcn Education Technology Co Ltd","China","Provider","China","Self"
"002648.SZ","Satellite Chemical Co Ltd","002648","Manufacturing","https://www.stl-chem.com/","satlpec@weixing.com.cn","China (Mainland)","CSI 300","Shanghai Qingyu","China","Provider","China","Managed"
"002709.SZ","Guangzhou Tinci Materials Technology Co Ltd","002709","Manufacturing","http://www.tinci.com","ir@tinci.com","China (Mainland)","CSI 300","Unknown","Unknown","Unknown","Unknown","Unknown"
"002714.SZ","Muyuan Foods Co Ltd","002714","Agriculture, Forestry, Fishing and Hunting","http://www.muyuanfoods.com/","myzqb@muyuanfoods.com","China (Mainland)","CSI 300","Alibaba","China","Provider","China","Managed"
"002736.SZ","Guosen Securities Co Ltd","002736","Finance and Insurance","https://www.guosen.com.cn","ir@guosen.com.cn","China (Mainland)","CSI 300","Guosen Securities Co Ltd","China","Provider","China","Self"
"002791.SZ","Guangdong Kinlong Hardware Products Co Ltd","002791","Manufacturing","http://www.kinlong.com/","dsb@kinlong.com","China (Mainland)","CSI 300","net263","China","Provider","China","Managed"
"002812.SZ","Yunnan Energy New Material Co Ltd","002812","Manufacturing","http://www.cxxcl.cn/","groupheadquarter@cxxcl.cn","China (Mainland)","CSI 300","net263","China","Provider","China","Managed"
"002821.SZ","Asymchem Laboratories Tianjin Co Ltd","002821","Manufacturing","http://www.asymchem.com.cn/","securities@asymchem.com.cn","United States","CSI 300","Asymchem Laboratories Tianjin Co Ltd","United States","Provider","United States","Self"
"002841.SZ","Guangzhou Shiyuan Electronic Technology Co Ltd","002841","Manufacturing","http://www.cvte.com/","shiyuan@cvte.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"002916.SZ","Shennan Circuits Co Ltd","002916","Manufacturing","http://www.scc.com.cn/","stock@scc.com.cn","China (Mainland)","CSI 300","Shennan Circuits Co Ltd","China","Provider","China","Self"
"002920.SZ","Huizhou Desay SV Automotive Co Ltd","002920","Manufacturing","http://www.desaysv.com/","Securities@desaysv.com","China (Mainland)","CSI 300","Shanghai Qingyu","China","Provider","China","Managed"
"002938.SZ","Avary Holding Shenzhen Co Ltd","002938","Manufacturing","http://www.avaryholding.com/","a-h-m@avaryholding.com","Cayman Islands","CSI 300","Avary Holding Shenzhen Co Ltd","Cayman Islands","Provider","Other","Self"
"003816.SZ","CGN Power Co Ltd","003816","Utilities","http://www.cgnp.com.cn/","IR@cgnpc.com.cn","China (Mainland)","CSI 300","CGN Power Co Ltd","China","Provider","China","Self"
"300003.SZ","Lepu Medical Technology Beijing Co Ltd","300003","Manufacturing","http://www.lepumedical.com","zqb@lepumedical.com","China (Mainland)","CSI 300","Lepu Medical Technology Beijing Co Ltd","China","Provider","China","Self"
"300014.SZ","EVE Energy Co Ltd","300014","Manufacturing","https://www.evebattery.com/","ir@evebattery.com","China (Mainland)","CSI 300","Shanghai Qingyu","China","Provider","China","Managed"
"300015.SZ","Aier Eye Hospital Group Co Ltd","300015","Health Care and Social Assistance","https://www.aierchina.com/","zhengquanbu@yeah.net","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"300033.SZ","Hithink RoyalFlush Information Network Co Ltd","300033","Information","http://www.10jqka.com.cn","myhexin@myhexin.com","China (Mainland)","CSI 300","Hithink RoyalFlush Information Network Co Ltd","China","Provider","China","Self"
"300059.SZ","East Money Information Co Ltd","300059","Finance and Insurance","https://www.eastmoney.com/",,"China (Mainland)","CSI 300","East Money Information Co Ltd","China","Provider","China","Self"
"300122.SZ","Chongqing Zhifei Biological Products Co Ltd","300122","Manufacturing","http://www.zhifeishengwu.com/","IRM@zhifeishengwu.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"300124.SZ","Shenzhen Inovance Technology Co Ltd","300124","Manufacturing","https://www.inovance.com/","songjunen@inovance.com","China (Mainland)","CSI 300","Shenzhen Inovance Technology Co Ltd","China","Provider","China","Self"
"300142.SZ","Walvax Biotechnology Co Ltd","300142","Manufacturing","https://www.walvax.com/",,"China (Mainland)","CSI 300","NetEase","China","Provider","China","Managed"
"300207.SZ","Sunwoda Electronic Co Ltd","300207","Manufacturing","http://www.sunwoda.com/","zengdi@sunwoda.com","China (Mainland)","CSI 300","Unknown","Unknown","Unknown","Unknown","Unknown"
"300223.SZ","Ingenic Semiconductor Co Ltd","300223","Manufacturing","http://www.ingenic.com","investors@ingenic.cn","China (Mainland)","CSI 300","Ingenic Semiconductor Co Ltd","China","Provider","China","Self"
"300274.SZ","Sungrow Power Supply Co Ltd","300274","Manufacturing","https://www.sungrowpower.com/","dshms@sungrow.com","China (Mainland)","CSI 300","Sophos","United Kingdom","Security","United Kingdom","Managed"
"300316.SZ","Zhejiang Jingsheng Mechanical & Electrical Co Ltd","300316","Manufacturing","https://www.jsjd.cc/","jsjd@jsjd.cc","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"300347.SZ","Hangzhou Tigermed Consulting Co Ltd","300347","Health Care and Social Assistance","https://www.tigermedgrp.com","ir@tigermedgrp.com","China (Mainland)","CSI 300","Microsoft","United States","Provider","United States","Managed"
"300408.SZ","Chaozhou Three-circle Group Co Ltd","300408","Manufacturing","http://www.cctc.cc/","dsh@cctc.cc","China (Mainland)","CSI 300","Alibaba","China","Provider","China","Managed"
"300413.SZ","Mango Excellent Media Co Ltd","300413","Information","https://www.mgtv.com","mangocm@mangocm.com","China (Mainland)","CSI 300","Microsoft","United States","Provider","United States","Managed"
"300433.SZ","Lens Technology Co Ltd","300433","Manufacturing","http://www.hnlens.com/","lsgf@hnlens.com","China (Mainland)","CSI 300","Lens Technology Co Ltd","China","Provider","China","Self"
"300450.SZ","Wuxi Lead Intelligent Equipment Co Ltd","300450","Manufacturing","http://www.leadchina.cn","jianfeng.zhou@leadchina.cn","China (Mainland)","CSI 300","NetEase","China","Provider","China","Managed"
"300454.SZ","Sangfor Technologies Inc","300454","Information","http://www.sangfor.com.cn/",,"China (Mainland)","CSI 300","NetEase","China","Provider","China","Managed"
"300496.SZ","Thunder Software Technology Co Ltd","300496","Information","http://www.thundersoft.com","ir@thundersoft.com","China (Mainland)","CSI 300","NetEase","China","Provider","China","Managed"
"300498.SZ","Wens Foodstuff Group Co Ltd","300498","Agriculture, Forestry, Fishing and Hunting","https://www.wens.com.cn/","dsh@wens.com.cn","China (Mainland)","CSI 300","Wens Foodstuff Group Co Ltd","China","Provider","China","Self"
"300529.SZ","Jafron Biomedical Co Ltd","300529","Manufacturing","http://www.jafron.com",,"China (Mainland)","CSI 300","Jafron Biomedical Co Ltd","China","Provider","China","Self"
"300595.SZ","Autek China Inc","300595","Manufacturing","http://www.orthok.cn","autekcfo@126.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"300601.SZ","Shenzhen Kangtai Biological Products Co Ltd","300601","Manufacturing","http://www.biokangtai.com","office@biokangtai.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"300628.SZ","Yealink Network Technology Co Ltd","300628","Manufacturing","https://www.yealink.com/",,"China (Mainland)","CSI 300","Shanghai Qingyu","China","Provider","China","Managed"
"300661.SZ","SG Micro Corp","300661","Manufacturing","http://www.sg-micro.com/","investors@sg-micro.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"300750.SZ","Contemporary Amperex Technology Co Ltd","300750","Manufacturing","https://www.catl.com/","CATL-IR@catlbattery.com","China (Mainland)","CSI 300","Microsoft","United States","Provider","United States","Managed"
"300751.SZ","Suzhou Maxwell Technologies Co Ltd","300751","Manufacturing","https://www.maxwell-gp.com/","bod@maxwell-gp.com.cn","China (Mainland)","CSI 300","35.com","China","Provider","China","Managed"
"300759.SZ","Pharmaron Beijing Co Ltd","300759","Professional, Scientific, and Technical Services","https://www.pharmaron.cn/","pharmaron@pharmaron-bj.com","China (Mainland)","CSI 300","Pharmaron Beijing Co Ltd","China","Provider","China","Self"
"300760.SZ","Shenzhen Mindray Bio-Medical Electronics Co Ltd","300760","Manufacturing","https://www.mindray.com/en/","ir@mindray.com","China (Mainland)","CSI 300","Shenzhen Mindray Bio-Medical Electronics Co Ltd","China","Provider","China","Self"
"300763.SZ","Ginlong Technologies Co Ltd","300763","Manufacturing","https://www.ginlong.com/us","ir@ginlong.com","China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"300782.SZ","Maxscend Microelectronics Co Ltd","300782","Manufacturing","http://www.maxscend.com/","info@maxscend.com","China (Mainland)","CSI 300","Alibaba","China","Provider","China","Managed"
"300866.SZ","Anker Innovations Technology Co Ltd","300866","Manufacturing","http://www.anker-in.com/","IR@anker.com","China (Mainland)","CSI 300","Google","United States","Provider","United States","Managed"
"300896.SZ","Imeik Technology Development Co Ltd","300896","Manufacturing","https://www.imeik.net/cn/","ir@imeik.com","China (Mainland)","CSI 300","net263","China","Provider","China","Managed"
"300919.SZ","CNGR Advanced Material Co Ltd","300919","Manufacturing","http://www.cngrgf.com.cn/",,"China (Mainland)","CSI 300","Tencent","China","Provider","China","Managed"
"300957.SZ","Yunnan Botanee Bio-Technology Group Co Ltd","300957","Manufacturing","https://www.botanee.com.cn/","ir@winona.cn","British Virgin Islands","CSI 300","net263","China","Provider","China","Managed"
"300979.SZ","Huali Industrial Group Co Ltd","300979","Manufacturing","http://www.huali-group.com/","lingling.fang@huali-group.com","Hong Kong","CSI 300","Huali Industrial Group Co Ltd","China","Provider","China","Self"
"300999.SZ","Yihai Kerry Arawana Holdings Co Ltd","300999","Manufacturing","https://www.yihaikerry.net.cn/","jinlongyu_ir@cn.wilmar-intl.com","Singapore","CSI 300","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"600000.SS","Shanghai Pudong Development Bank Co Ltd","600000","Finance and Insurance","https://www.spdb.com.cn/","xiew2@spdb.com.cn","China (Mainland)","CSI 300","Shanghai Pudong Development Bank Co Ltd","China","Provider","China","Self"
"600009.SS","Shanghai International Airport Co Ltd","600009","Transportation and Warehousing","https://www.shairport.com/","ir@shairport.com","China (Mainland)","CSI 300","Shanghai International Airport Co Ltd","China","Provider","China","Self"
"600010.SS","Inner Mongolia BaoTou Steel Union Co Ltd","600010","Manufacturing","https://www.baoganggf.com/","glgfzqb@126.com","China (Mainland)","CSI 300","NetEase","China","Provider","China","Managed"
"600011.SS","Huaneng Power International Inc","600011","Utilities","https://www.hpi.com.cn/","cq_huang@hpi.com.cn","China (Mainland)","CSI 300","Huaneng Power International Inc","China","Provider","China","Self"
"600015.SS","Hua Xia Bank Co Ltd","600015","Finance and Insurance","https://www.hxb.com.cn/","zhdb@hxb.com.cn","China (Mainland)","CSI 300","Hua Xia Bank Co Ltd","China","Provider","China","Self"
"600016.SS","China Minsheng Banking Corp Ltd","600016","Finance and Insurance","http://www.cmbc.com.cn/","cmbc@cmbc.com.cn","China (Mainland)","CSI 300","China Minsheng Banking Corp Ltd","China","Provider","China","Self"
"600018.SS","Shanghai International Port Group Co Ltd","600018","Transportation and Warehousing","https://www.portshanghai.com.cn/","dongmi@portshanghai.com.cn","China (Mainland)","CSI 300","Shanghai International Port Group Co Ltd","China","Provider","China","Self"
"600019.SS","Baoshan Iron & Steel Co Ltd","600019","Manufacturing","https://www.baosteel.com/","ir@baosteel.com","China (Mainland)","CSI 300","Baoshan Iron & Steel Co Ltd","China","Provider","China","Self"
"600025.SS","Huaneng Lancang River Hydropower Inc","600025","Utilities","http://www.hnlcj.cn/","hnsd@lcjsd.cn","China (Mainland)","CSI 300","Unknown","Unknown","Unknown","Unknown","Unknown"
"600028.SS","China Petroleum & Chemical Corp","600028","Retail Trade","http://www.sinopec.com/",,"China (Mainland)","CSI 300","China Petroleum & Chemical Corp","China","Provider","China","Self"
"600029.SS","China Southern Airlines Co Ltd","600029","Transportation and Warehousing","http://www.csair.com","ir@csair.com","China (Mainland)","CSI 300","Unknown","Unknown","Unknown","Unknown","Unknown"
"600030.SS","CITIC Securities Co Ltd","600030","Finance and Insurance","http://www.citics.com/","ir@citics.com","China (Mainland)","CSI 300","CITIC Securities Co Ltd","China","Provider","China","Self"
"600031.SS","Sany Heavy Industry Co Ltd","600031","Manufacturing","http://www.sanyhi.com/","caisl@sany.com.cn","China (Mainland)","CSI 300","Sany Heavy Industry Co Ltd","China","Provider","China","Self"
"600036.SS","China Merchants Bank Co Ltd","600036","Finance and Insurance","http://www.cmbchina.com/","cmb@cmbchina.com","China (Mainland)","CSI 300","China Merchants Bank Co Ltd","China","Provider","China","Self"
"600048.SS","Poly Developments and Holdings Group Co Ltd","600048","Construction","http://www.polycn.com/","stock@polycn.com","China (Mainland)","CSI 300","Coremail","China","Provider","China","Managed"
"600050.SS","China United Network Communications Ltd","600050","Information","https://www.chinaunicom-a.com/","dongmi@chinaunicom.cn","China (Mainland)","CSI 300","Shanghai Qingyu","China","Provider","China","Managed"
"600061.SS","SDIC Capital Co Ltd","600061","Finance and Insurance","http://www.sdiccapital.com","ir@sdic.com.cn","China (Mainland)","CSI 300","Alibaba","China","Provider","China","Managed"
"600085.SS","Beijing Tongrentang Co Ltd","600085","Manufacturing","https://gf.tongrentang.com/","fengli@tongrentang.com","China (Mainland)","CSI 300","Beijing Tongrentang Co Ltd","China","Provider","China","Self"
